brand_name,Price,discount,image_url,Reviews_rating,Reviews_count
Clé USB 3-en-1 Rotative 128G - Violet,3345,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/801103/1.jpg?8092,3.5,29
"Supports pour ordinateurs portables portables ajustables, support plia...",1120,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/903403/1.jpg?2469,4.6,9
Routeur 4G Modem sans fil Lte Wifi routeur de carte Sim Hotspot de poc...,14630,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/868692/1.jpg?5083,3.8,26
GtyGo Sac à dos de voyage pour ordinateur portable anti-vol noir,5649,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/539713/1.jpg?3702,3.4,205
Support Téléphonique Portable Pour Ordinateur Portable Deux En Un 3 In...,2479,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/501492/1.jpg?7082,3.9,190
Tapis De Souris Noir 22*18*0.15cm-Noir,970,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/852403/1.jpg?0373,4.1,25
10’‘Sans Fil Bluetooth Clavier Applicable Téléphone Tablette,3107,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/339003/1.jpg?2228,3.9,19
RichRipple Souris filaire à LED colorées - Souris bureautique ergonomi...,1482,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/735103/1.jpg?3209,3.8,39
Canon Imprimante à Réservoir G2430 - G2410 - G2411 - Impression - Copi...,66900,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/952613/1.jpg?2490,4.8,5
Hp Notebook 15-fd0131wm - Intel Core i3-N305 (13th GEN) - 8GB RAM - 51...,229050,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/198992/1.jpg?4671,4.3,6
Canon PIXMA G2430 multifonction à réservoirs rechargeables,67000,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/609713/1.jpg?3122,3.7,10
"Tapis de clavier rétroéclairé par LED, Tapis de bureau pour gamers, Ta...",3965,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/354403/1.jpg?8644,4.5,11
SanDisk Clé USB 32 GB - Cruzer Blade,3400,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/704412/1.jpg?2925,4.5,17
"Boîtier Externe Disque Dur Sata - 2,5 Pouces - USB 3.0/2.0",3300,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/026251/1.jpg?6564,4.0,178
