Brand_name,Price,Discount,Reviews,Image
10’‘Sans Fil Bluetooth Clavier Applicable Téléphone Tablette,3107,5%,3.9 out of 5(19),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/339003/1.jpg?2228
RichRipple Souris filaire à LED colorées - Souris bureautique ergonomi...,1482,5%,3.8 out of 5(39),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/735103/1.jpg?3209
Canon Imprimante à Réservoir G2430 - G2410 - G2411 - Impression - Copi...,66900,5%,4.8 out of 5(5),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/952613/1.jpg?2490
Hp Notebook 15-fd0131wm - Intel Core i3-N305 (13th GEN) - 8GB RAM - 51...,229050,5%,4.3 out of 5(6),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/198992/1.jpg?4671
Canon PIXMA G2430 multifonction à réservoirs rechargeables,67000,5%,3.7 out of 5(10),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/609713/1.jpg?3122
"Tapis de clavier rétroéclairé par LED, Tapis de bureau pour gamers, Ta...",3965,5%,4.5 out of 5(11),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/354403/1.jpg?8644
SanDisk Clé USB 32 GB - Cruzer Blade,3400,5%,4.5 out of 5(17),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/704412/1.jpg?2925
"Boîtier Externe Disque Dur Sata - 2,5 Pouces - USB 3.0/2.0",3300,5%,4 out of 5(178),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/026251/1.jpg?6564
Xiaomi MI Répéteur (amplificateur) Wifi N300 300Mbps - Blanc,9395,5%,4.1 out of 5(549),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/210441/1.jpg?4460
Câble Réseau Ethernet Cat 6E RJ45 15m - Blanc,3800,5%,4.3 out of 5(162),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/306002/1.jpg?8325
Pocket Wifi 4G/5G Universel Tous Réseaux,18563,5%,3.7 out of 5(41),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/485692/1.jpg?6419
Mini Imprimante Thermique Portative - Blanc,5500,5%,3.8 out of 5(75),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/347862/1.jpg?5880
Hp Cartouche D'encre 305 - Noir,8800,5%,4 out of 5(152),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/395031/1.jpg?4324
Canon Cartouche D'encre Canon 445 Noir + 446 Couleur,18800,5%,3.9 out of 5(117),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/599031/1.jpg?8684
Canon Imprimante à réservoir G3416 - G3411 - G3410 - 3 en 1 - impressi...,79000,5%,3.6 out of 5(40),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/964103/1.jpg?7625
"Xiaomi Répéteur Amplificateur De Signal WiFi Pro WPS 300Mbps 2,4 GHz S...",9300,5%,4.4 out of 5(18),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/634403/1.jpg?5160
