brand_name,Price,discount,Reviews,image_url,Reviews_rating,Reviews_count
Hp Notebook 15-fd0131wm - Intel Core i3-N305 (13th GEN) - 8GB RAM - 51...,229050.0,5%,4.3 out of 5(6),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/198992/1.jpg?4671,4.3,6.0
Canon PIXMA G2430 multifonction à réservoirs rechargeables,67000.0,5%,3.7 out of 5(10),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/609713/1.jpg?3122,3.7,10.0
"Tapis de clavier rétroéclairé par LED, Tapis de bureau pour gamers, Ta...",3965.0,5%,4.5 out of 5(11),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/354403/1.jpg?8644,4.5,11.0
SanDisk Clé USB 32 GB - Cruzer Blade,3400.0,5%,4.5 out of 5(17),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/704412/1.jpg?2925,4.5,17.0
"Boîtier Externe Disque Dur Sata - 2,5 Pouces - USB 3.0/2.0",3300.0,5%,4 out of 5(178),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/026251/1.jpg?6564,4.0,178.0
Xiaomi MI Répéteur (amplificateur) Wifi N300 300Mbps - Blanc,9395.0,5%,4.1 out of 5(549),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/210441/1.jpg?4460,4.1,549.0
Câble Réseau Ethernet Cat 6E RJ45 15m - Blanc,3800.0,5%,4.3 out of 5(162),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/306002/1.jpg?8325,4.3,162.0
Pocket Wifi 4G/5G Universel Tous Réseaux,18563.0,5%,3.7 out of 5(41),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/485692/1.jpg?6419,3.7,41.0
Mini Imprimante Thermique Portative - Blanc,5500.0,5%,3.8 out of 5(75),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/347862/1.jpg?5880,3.8,75.0
Hp Cartouche D'encre 305 - Noir,8800.0,5%,4 out of 5(152),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/395031/1.jpg?4324,4.0,152.0
Canon Cartouche D'encre Canon 445 Noir + 446 Couleur,18800.0,5%,3.9 out of 5(117),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/599031/1.jpg?8684,3.9,117.0
Canon Imprimante à réservoir G3416 - G3411 - G3410 - 3 en 1 - impressi...,79000.0,5%,3.6 out of 5(40),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/964103/1.jpg?7625,3.6,40.0
"Xiaomi Répéteur Amplificateur De Signal WiFi Pro WPS 300Mbps 2,4 GHz S...",9300.0,5%,4.4 out of 5(18),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/634403/1.jpg?5160,4.4,18.0
Canon CARTOUCHE D'ENCRE NOIR PG-445,9900.0,5%,4.3 out of 5(12),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/230151/1.jpg?2604,4.3,12.0
Souris Sans Fil 2.4G - Bleu,1599.0,5%,3.4 out of 5(103),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/423872/1.jpg?4107,3.4,103.0
Support pour ordinateurs portables en aluminium ajustable - Argent,1950.0,5%,4.4 out of 5(10),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/993013/1.jpg?4194,4.4,10.0
10 Inch LCD Writing Tablet Electronic Digital Drawing Board,1530.0,5%,3.2 out of 5(6),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/985203/1.jpg?4910,3.2,6.0
